Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,WD,NB,Innings
Jackson Bird,215152,4,0,37,0,9.25,0,0,0
Johan Botha,44149,3,0,29,0,9.66,0,0,0
Sean Abbott,398666,3,0,31,1,10.33,0,0,0
Moises Henriques,5961,2,0,15,1,7.50,0,0,0
Ben Dwarshuis,679567,4,0,25,3,6.25,2,0,0
Nathan Lyon,272279,4,0,18,2,4.50,1,0,0
Michael Beer,307495,4,0,39,1,9.75,2,0,1
Ben Hilfenhaus,5941,3,0,25,1,8.33,3,0,1
Scott Boland,446548,4,0,37,3,9.25,3,1,1
Evan Gulbis,381183,4,0,24,1,6.00,0,0,1
Liam Bowe,1076852,4,0,35,1,8.75,1,0,1
