Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,WD,NB,Innings
Lungi Ngidi,542023,10,3,44,0,4.40,0,0,0
Anrich Nortje,481979,14.3,1,56,6,3.86,0,0,0
Lutho Sipamla,698143,9,3,27,1,3.00,0,0,0
Wiaan Mulder,698189,7,3,25,3,3.57,0,0,0
Vishwa Fernando,465783,23.4,0,101,5,4.26,1,0,1
Asitha Fernando,786925,19,5,61,2,3.21,1,0,1
Dushmantha Chameera,552152,14,1,53,1,3.78,0,0,1
Dasun Shanaka,437316,15,3,42,2,2.80,1,0,1
PWH de Silva,784379,4,0,23,0,5.75,0,0,1
Lungi Ngidi,542023,15,5,44,4,2.93,0,0,2
Anrich Nortje,481979,19,2,64,2,3.36,1,0,2
Wiaan Mulder,698189,13,3,52,1,4.00,0,1,2
Lutho Sipamla,698143,9.5,1,40,3,4.06,0,1,2
Vishwa Fernando,465783,4,0,23,0,5.75,0,0,3
Asitha Fernando,786925,4,1,20,0,5.00,0,0,3
PWH de Silva,784379,2.2,0,16,0,6.85,0,0,3
Dasun Shanaka,437316,3,1,8,0,2.66,0,0,3
