Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Sheldon Cottrell,495551,10,1,58,1,5.80,27,5,0,0,0,0
Jason Holder,391485,10,0,68,2,6.80,30,8,1,3,0,0
Alzarri Joseph,670031,10,0,65,4,6.50,29,9,0,4,0,0
Roston Chase,391832,10,0,51,1,5.09,24,1,1,0,0,0
Hayden Walsh,443263,3,0,20,0,6.66,7,3,0,0,0,0
Kieron Pollard,230559,7,0,36,1,5.14,21,3,0,0,0,0
Nuwan Pradeep,324358,4.3,1,22,0,4.88,16,2,0,0,0,1
Thisara Perera,233514,7.3,0,54,0,7.20,20,7,1,0,0,1
Isuru Udana,328026,10,0,76,1,7.60,23,4,3,2,0,1
Angelo Mathews,49764,10,0,59,4,5.90,28,6,1,1,0,1
Lakshan Sandakan,429738,3,0,31,0,10.33,1,4,0,1,0,1
PWH de Silva,784379,10,0,41,1,4.09,35,1,1,1,0,1
Dhananjaya de Silva,465793,5,0,13,0,2.60,17,0,0,0,0,1
