Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Kagiso Rabada,550215,4,0,42,1,10.50,6,3,2,1,1,0
Anrich Nortje,481979,4,0,46,1,11.50,6,4,2,0,0,0
Lungi Ngidi,542023,4,0,33,1,8.25,5,3,0,3,0,0
Dwaine Pretorius,327830,4,0,42,1,10.50,5,0,3,4,0,0
Tabraiz Shamsi,379145,4,0,25,1,6.25,8,2,0,0,0,0
Mitchell Starc,311592,2.3,0,23,3,9.19,6,4,0,2,0,1
Pat Cummins,489889,3,0,27,1,9.00,3,1,1,2,0,1
Kane Richardson,272262,2,0,17,0,8.50,4,1,1,0,0,1
Ashton Agar,505120,4,0,16,3,4.00,8,0,0,0,0,1
Adam Zampa,379504,3,0,10,2,3.33,9,0,0,0,0,1
Mitchell Marsh,272450,1,0,3,1,3.00,3,0,0,0,0,1
