Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Sheldon Cottrell,495551,4,0,29,2,7.25,14,3,1,2,0,0
Jason Holder,391485,4,0,26,0,6.50,12,2,1,1,0,0
Kesrick Williams,450075,4,0,31,2,7.75,12,0,3,3,0,0
Khary Pierre,581160,3,0,19,0,6.33,8,0,1,2,0,0
Keemo Paul,677081,3,0,26,2,8.66,4,2,1,0,0,0
Kieron Pollard,230559,2,0,21,1,10.50,4,2,1,1,0,0
Mujeeb Ur Rahman,974109,3,0,9,1,3.00,13,1,0,1,0,1
Naveen-ul-Haq,793447,4,0,24,3,6.00,10,3,0,1,0,1
Karim Janat,793467,4,0,33,1,8.25,6,3,0,1,1,1
Gulbadin Naib,352048,4,0,26,1,6.50,5,1,0,2,0,1
Mohammad Nabi,25913,1,0,13,0,13.00,2,1,1,0,0,1
Rashid Khan,793463,4,0,18,1,4.50,9,0,0,0,0,1
