Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Mujeeb Ur Rahman,974109,10,0,44,0,4.40,36,2,1,2,0,0
Dawlat Zadran,516561,10,0,85,3,8.50,25,8,3,4,0,0
Mohammad Nabi,25913,9,0,70,0,7.77,19,4,4,0,0,0
Gulbadin Naib,352048,10,0,68,3,6.80,29,3,5,0,1,0
Rahmat Shah,533956,2,0,19,0,9.50,3,1,1,0,0,0
Rashid Khan,793463,9,0,110,0,12.22,18,3,11,0,0,0
Chris Woakes,247235,9,0,41,0,4.55,30,3,1,2,0,1
Jofra Archer,669855,10,1,52,3,5.20,38,5,1,2,0,1
Moeen Ali,8917,7,0,35,0,5.00,19,2,1,0,0,1
Mark Wood,351588,10,1,40,2,4.00,37,3,1,1,0,1
Ben Stokes,311158,4,0,12,0,3.00,13,0,0,0,0,1
Adil Rashid,244497,10,0,66,3,6.60,30,3,4,1,0,1
