Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Pat Cummins,489889,10,1,34,1,3.40,38,3,0,1,0,0
Nathan Coulter-Nile,261354,10,0,51,3,5.09,39,8,0,5,0,0
Kane Richardson,272262,10,0,55,3,5.50,28,6,0,1,1,0
Marcus Stoinis,325012,9,0,46,0,5.11,30,3,1,2,0,0
Ashton Agar,505120,9,0,54,1,6.00,17,3,0,2,0,0
Travis Head,530011,2,0,11,0,5.50,6,1,0,1,0,0
Bhuvneshwar Kumar,326016,6.1,2,9,3,1.45,31,1,0,0,0,1
Jasprit Bumrah,625383,7,1,39,0,5.57,27,5,1,0,0,1
Hardik Pandya,625371,10,0,56,2,5.60,38,8,1,1,0,1
Yuzvendra Chahal,430246,10,1,34,2,3.40,38,1,1,2,0,1
Kuldeep Yadav,559235,10,1,54,3,5.40,36,4,2,2,0,1
