Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Anwar Ali,232491,4,0,24,1,6.00,12,3,0,1,1,0
Shane Watson,8180,4,0,50,0,12.50,10,4,4,1,0,0
Rahat Ali,323244,4,0,51,1,12.75,7,4,4,1,0,0
Mir Hamza,556684,4,0,34,1,8.50,5,3,1,0,0,0
Mohammad Nawaz,348148,3,0,22,0,7.33,7,2,1,0,0,0
Hassan Khan,959789,1,0,3,1,3.00,3,0,0,0,0,0
Sohail Khan,317252,4,0,30,0,7.50,8,1,2,1,0,1
Sunil Narine,230558,4,0,22,2,5.50,11,1,1,1,0,1
Yasir Shah,43685,4,0,35,2,8.75,6,0,2,1,0,1
Mitchell McClenaghan,319439,4,0,43,1,10.75,7,3,3,0,0,1
Shaheen Shah Afridi,1072470,4,0,37,1,9.25,8,0,4,1,0,1
