Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Mohammad Nawaz,348148,4,0,38,1,9.50,11,3,3,0,0,0
Anwar Ali,232491,2,0,6,0,3.00,7,0,0,0,0,0
Ben Laughlin,315623,4,0,33,1,8.25,7,2,2,0,0,0
Hassan Khan,959789,2,0,21,0,10.50,4,1,2,0,0,0
Rahat Ali,323244,4,0,30,1,7.50,10,3,1,1,0,0
Shane Watson,8180,4,0,26,2,6.50,11,1,2,0,0,0
Liam Dawson,211855,4,0,38,1,9.50,10,3,3,0,0,1
Umaid Asif,429122,4,0,26,1,6.50,7,2,0,1,0,1
Hasan Ali,681305,4,0,25,1,6.25,8,2,0,0,0,1
Wahab Riaz,43590,4,0,26,1,6.50,12,4,0,0,0,1
Mohammad Asghar,654261,3,0,32,0,10.66,3,4,1,0,0,1
Dwayne Smith,53118,0.2,0,5,0,15.00,0,1,0,0,0,1
