Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Umesh Yadav,376116,4,0,39,1,9.75,8,6,1,0,0,0
Washington Sundar,719715,4,0,29,1,7.25,7,3,0,0,0,0
Yuzvendra Chahal,430246,4,0,41,2,10.25,10,2,4,0,0,0
Navdeep Saini,700167,4,0,44,1,11.00,10,5,3,0,0,0
Marcus Stoinis,325012,3,0,24,0,8.00,3,1,1,0,0,0
Shivam Dube,714451,1,0,5,0,5.00,1,0,0,0,0,0
Ishant Sharma,236779,4,0,40,1,10.00,9,5,2,0,0,1
Axar Patel,554691,4,0,26,1,6.50,8,0,2,0,0,1
Sandeep Lamichhane,960361,3,0,36,0,12.00,1,3,2,0,0,1
Kagiso Rabada,550215,4,0,31,2,7.75,10,3,1,1,0,1
Amit Mishra,31107,4,0,29,2,7.25,8,1,1,1,0,1
Sherfane Rutherford,914541,1,0,6,1,6.00,1,0,0,0,0,1
