Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Tim Southee,232364,10,1,57,2,5.70,41,6,2,3,0,0
Trent Boult,277912,10,0,54,1,5.40,28,6,0,0,1,0
Mitchell Santner,502714,10,1,34,1,3.40,41,0,3,0,0,0
Lockie Ferguson,493773,10,0,39,3,3.90,40,4,0,4,0,0
Todd Astle,213674,7,0,50,2,7.14,20,5,2,1,0,0
Colin Munro,232359,3,0,11,0,3.66,8,0,0,0,0,0
Mohammad Amir,290948,5,1,18,1,3.60,21,1,0,0,0,1
Rumman Raees,448243,4.5,0,37,0,7.65,13,5,0,0,1,1
Faheem Ashraf,681117,5,0,30,1,6.00,11,3,0,0,0,1
Hasan Ali,681305,5,0,37,0,7.40,14,1,3,0,0,1
Shadab Khan,922943,4,0,29,0,7.25,10,1,2,0,0,1
