Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Morne Morkel,46538,4,0,35,2,8.75,11,2,2,3,1,0
Umesh Yadav,376116,4,0,28,3,7.00,10,2,1,1,0,0
Shakib Al Hasan,56143,3,0,18,0,6.00,6,0,1,0,0,0
Andre Russell,276298,4,0,19,1,4.75,12,1,0,0,0,0
Sunil Narine,230558,4,0,26,0,6.50,10,2,1,0,0,0
Piyush Chawla,32966,1,0,13,0,13.00,2,2,0,0,0,0
Bhuvneshwar Kumar,326016,4,0,29,0,7.25,8,3,0,1,0,1
Barinder Sran,537126,4,0,31,0,7.75,11,5,0,2,0,1
Mustafizur Rahman,330902,4,0,29,1,7.25,7,1,1,1,0,1
Karn Sharma,30288,2.2,0,24,0,10.28,3,4,0,0,0,1
Moises Henriques,5961,2,0,19,0,9.50,3,1,1,1,0,1
Ashish Reddy,389605,2,0,14,1,7.00,4,2,0,0,0,1
