Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Mitchell Johnson,6033,4,0,28,2,7.00,13,2,1,2,0,0
Jasprit Bumrah,625383,3,1,7,3,2.33,14,1,0,0,0,0
Lasith Malinga,49758,3.5,0,24,1,6.26,11,2,1,0,0,0
Karn Sharma,30288,4,0,16,4,4.00,12,1,0,1,0,0
Krunal Pandya,471342,3,0,25,0,8.33,5,2,1,0,0,0
Hardik Pandya,625371,1,0,4,0,4.00,3,0,0,0,0,0
Umesh Yadav,376116,2.3,0,23,1,9.19,6,4,0,1,0,1
Piyush Chawla,32966,4,0,34,2,8.50,9,4,1,1,0,1
Nathan Coulter-Nile,261354,3,0,15,1,5.00,6,0,0,0,0,1
Sunil Narine,230558,4,0,21,0,5.25,13,3,0,0,0,1
Ankit Rajpoot,591650,1,0,14,0,14.00,0,2,0,2,0,1
