Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
David Willey,308251,3,0,25,0,8.33,6,2,0,3,0,0
Tom Curran,550235,4,0,28,1,7.00,9,3,0,0,0,0
Jofra Archer,669855,4,0,29,2,7.25,9,3,0,0,0,0
Chris Jordan,288992,4,0,41,1,10.25,9,5,2,0,0,0
Adil Rashid,244497,4,0,32,0,8.00,4,2,1,0,0,0
Joe Denly,12454,1,0,15,0,15.00,1,0,2,0,0,0
Imad Wasim,227758,4,0,24,1,6.00,7,1,0,0,0,1
Faheem Ashraf,681117,3.2,0,43,0,12.90,5,3,3,0,0,1
Shaheen Shah Afridi,1072470,4,0,35,1,8.75,7,3,1,2,0,1
Mohammad Hasnain,1158100,4,0,29,0,7.25,9,4,0,1,0,1
Hasan Ali,681305,4,0,42,1,10.50,4,5,1,0,1,1
