Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Adam Milne,450860,4,0,35,0,8.75,10,5,0,2,0,0
Samuel Badree,51433,4,0,31,1,7.75,8,3,1,0,0,0
Sreenath Aravind,290632,4,0,30,0,7.50,8,1,2,0,0,0
Yuzvendra Chahal,430246,2,0,25,0,12.50,1,2,1,0,0,0
Pawan Negi,530773,4,0,18,1,4.50,12,1,0,1,0,0
Stuart Binny,27223,2,0,17,1,8.50,2,2,0,0,0,0
Deepak Chahar,447261,2,0,18,0,9.00,3,3,0,0,0,1
Jaydev Unadkat,390484,4,0,19,1,4.75,11,1,0,1,0,1
Lockie Ferguson,493773,4,1,7,2,1.75,18,0,0,1,0,1
Dan Christian,4864,4,0,25,1,6.25,10,2,0,0,0,1
Imran Tahir,40618,4,0,18,3,4.50,12,0,1,0,0,1
Washington Sundar,719715,2,0,7,1,3.50,5,0,0,0,0,1
