Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Bhuvneshwar Kumar,326016,4,0,51,1,12.75,11,5,4,1,0,0
Sandeep Sharma,438362,4,0,24,0,6.00,11,2,1,0,0,0
Shakib Al Hasan,56143,4,0,27,2,6.75,8,2,1,0,0,0
Siddarth Kaul,326017,4,0,48,0,12.00,5,6,2,0,0,0
Rashid Khan,793463,4,0,35,0,8.75,7,4,1,0,0,0
Trent Boult,277912,3.5,0,43,0,11.21,5,6,1,0,0,1
Harshal Patel,390481,4,0,32,1,8.00,9,5,0,0,0,1
Shahbaz Nadeem,31872,2,0,22,0,11.00,2,0,2,0,0,1
Liam Plunkett,19264,4,0,41,0,10.25,3,4,1,0,0,1
Amit Mishra,31107,3,0,29,0,9.66,3,3,1,0,0,1
Vijay Shankar,477021,1,0,14,0,14.00,1,1,1,1,0,1
Glenn Maxwell,325026,1,0,9,0,9.00,1,1,0,0,0,1
