Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,WD,NB,Innings
Kagiso Rabada,550215,21,2,72,0,3.42,0,0,0
Anrich Nortje,481979,24.3,8,56,5,2.28,0,3,0
Keshav Maharaj,267724,45,11,90,3,2.00,0,0,0
George Linde,481875,5.5,2,4,0,0.68,0,0,0
Dean Elgar,230852,1.1,0,6,0,5.14,0,0,0
Wiaan Mulder,698189,17,7,40,1,2.35,0,2,0
Shaheen Shah Afridi,1072470,13,2,37,1,2.84,0,3,1
Hasan Ali,681305,15.4,2,54,5,3.44,0,6,1
Faheem Ashraf,681117,8,2,20,1,2.50,0,0,1
Nauman Ali,238672,17,8,36,1,2.11,0,0,1
Yasir Shah,43685,12,2,54,0,4.50,0,0,1
Kagiso Rabada,550215,14,3,34,2,2.42,0,0,2
Anrich Nortje,481979,17,7,57,0,3.35,0,0,2
Keshav Maharaj,267724,38,4,118,3,3.10,0,0,2
Wiaan Mulder,698189,7,1,16,0,2.28,0,2,2
George Linde,481875,26,9,64,5,2.46,0,0,2
Shaheen Shah Afridi,1072470,21,6,51,4,2.42,0,4,3
Hasan Ali,681305,16,2,60,5,3.75,0,3,3
Nauman Ali,238672,20,6,63,0,3.15,0,0,3
Yasir Shah,43685,23.4,5,56,1,2.36,0,0,3
Faheem Ashraf,681117,10,2,37,0,3.70,0,0,3
Fawad Alam,40250,1,0,5,0,5.00,0,0,3
