Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Junaid Khan,259551,8,0,32,1,4.00,30,4,0,0,0,0
Rumman Raees,448243,7.2,0,52,0,7.09,21,6,0,4,0,0
Mohammad Hafeez,41434,8,0,39,1,4.87,21,3,0,1,0,0
Hasan Ali,681305,10,0,34,5,3.40,39,3,0,1,0,0
Faheem Ashraf,681117,5,0,10,0,2.00,20,0,0,0,0,0
Shadab Khan,922943,10,0,37,2,3.70,25,0,0,1,0,0
Lahiru Gamage,268845,7,1,35,1,5.00,28,5,1,1,0,1
Dushmantha Chameera,552152,10,0,33,0,3.30,40,1,0,3,0,1
Akila Dananjaya,574178,10,0,57,0,5.70,26,1,2,2,0,1
Jeffrey Vandersay,370040,9.3,1,43,1,4.52,31,3,0,1,0,1
Milinda Siriwardana,222354,2,0,12,0,6.00,4,1,0,0,0,1
Thisara Perera,233514,4,0,22,1,5.50,10,1,0,2,0,1
