Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,WD,NB,Innings
Michael Neser,376169,2,0,32,0,16.00,1,0,0
Kane Richardson,272262,3,0,37,1,12.33,0,0,0
Jake Lehmann,437448,1,0,11,0,11.00,0,0,0
Chris Jordan,288992,3,0,29,2,9.66,2,0,0
Ben Laughlin,315623,3,0,37,0,12.33,0,0,0
Kieron Pollard,230559,4,0,27,2,6.75,1,0,0
Liam O'Connor,334388,4,0,28,0,7.00,0,0,0
Jason Floros,326462,3,0,40,0,13.33,0,0,1
Samuel Badree,51433,4,1,22,0,5.50,1,0,1
Mark Steketee,555853,4,0,32,3,8.00,2,0,1
Ben Cutting,230371,4,0,46,2,11.50,0,0,1
Jack Wildermuth,570854,2,0,27,0,13.50,1,0,1
Mitchell Swepson,590326,3,0,26,1,8.66,0,0,1
