Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Shardul Thakur,475281,10,1,60,2,6.00,34,6,2,3,0,0
Jasprit Bumrah,625383,10,0,64,0,6.40,25,6,2,0,0,0
Navdeep Saini,700167,10,0,48,0,4.80,36,5,1,2,0,0
Yuzvendra Chahal,430246,10,0,58,3,5.80,27,4,2,1,0,0
Ravindra Jadeja,234675,10,0,35,1,3.50,34,3,0,0,0,0
Hamish Bennett,226493,9,0,58,2,6.44,27,5,1,3,0,1
Tim Southee,232364,10,1,41,2,4.09,40,6,0,1,0,1
Kyle Jamieson,625960,10,1,42,2,4.20,38,4,1,0,0,1
Colin de Grandhomme,55395,10,1,54,2,5.40,33,6,1,2,0,1
James Neesham,355269,9.3,0,52,1,5.47,33,5,1,2,0,1
