Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Jasprit Bumrah,625383,4,0,31,1,7.75,8,2,0,2,0,0
Shardul Thakur,475281,3,0,44,1,14.66,5,3,4,0,0,0
Mohammed Shami,481896,4,0,53,0,13.25,6,5,3,3,0,0
Yuzvendra Chahal,430246,4,0,32,1,8.00,8,5,0,0,0,0
Shivam Dube,714451,3,0,24,1,8.00,7,1,2,0,0,0
Ravindra Jadeja,234675,2,0,18,1,9.00,2,1,1,0,0,0
Tim Southee,232364,4,0,48,0,12.00,5,2,4,0,0,1
Mitchell Santner,502714,4,0,50,1,12.50,5,4,3,2,0,1
Hamish Bennett,226493,4,0,36,0,9.00,3,4,0,1,0,1
Blair Tickner,854909,3,0,34,1,11.33,4,1,2,1,1,1
Ish Sodhi,559066,4,0,36,2,9.00,6,2,1,5,0,1
