Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,WD,NB,Innings
Peter Chase,524845,10,0,55,2,5.50,8,0,0
Tim Murtagh,17134,10,3,49,2,4.90,1,0,0
George Dockrell,348034,10,0,40,1,4.00,0,0,0
Stuart Thompson,414821,7,0,45,0,6.42,6,0,0
Andy McBrine,417381,7,1,26,1,3.71,2,0,0
Paul Stirling,303427,6,0,43,0,7.16,0,0,0
Gulbadin Naib,352048,4,0,23,0,5.75,0,1,1
Dawlat Zadran,516561,9.3,1,52,2,5.47,1,0,1
Amir Hamza,402245,10,1,37,0,3.70,0,0,1
Mohammad Nabi,25913,9,0,64,1,7.11,1,0,1
Samiullah Shinwari,318339,6,0,39,1,6.50,0,0,1
Rashid Khan,793463,10,1,44,0,4.40,1,0,1
