Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Suranga Lakmal,49619,9,0,60,0,6.66,26,8,1,1,0,0
Nuwan Pradeep,324358,10,0,66,2,6.60,25,9,0,1,0,0
Akila Dananjaya,574178,10,0,40,1,4.00,34,2,1,2,0,0
Thisara Perera,233514,9,0,60,3,6.66,20,5,1,3,0,0
Asela Gunaratne,360456,5,0,38,1,7.60,9,1,2,0,0,0
PWH de Silva,784379,7,0,51,0,7.28,10,3,1,0,0,0
Nasir Hossain,300618,4,0,20,1,5.00,14,3,0,0,0,1
Mashrafe Mortaza,56007,8,1,30,2,3.75,29,2,0,0,1,1
Rubel Hossain,300619,5.2,0,20,2,3.75,20,1,0,1,0,1
Mustafizur Rahman,330902,5,0,20,1,4.00,16,1,0,0,0,1
Shakib Al Hasan,56143,8,1,47,3,5.87,26,3,3,0,0,1
Mohammad Saifuddin,629070,2,0,14,0,7.00,5,2,0,0,0,1
