Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,WD,NB,Innings
Yamin Ahmadzai,440968,12,2,41,3,3.41,0,0,0
Wafadar Momand,973945,8,3,31,0,3.87,0,0,0
Mohammad Nabi,25913,14,5,36,3,2.57,0,0,0
Rashid Khan,793463,12,5,20,2,1.66,0,0,0
Waqar Salamkheil,1108490,14,4,35,2,2.50,0,0,0
Tim Murtagh,17134,22,9,33,1,1.50,0,0,1
Andy McBrine,417381,27,4,77,2,2.85,0,0,1
James Cameron-Dow,380957,18,0,94,2,5.22,3,1,1
Stuart Thompson,414821,17.3,5,28,3,1.60,1,2,1
George Dockrell,348034,18,4,63,2,3.50,0,0,1
Kevin O'Brien,24605,4,1,11,0,2.75,0,0,1
Yamin Ahmadzai,440968,14,1,52,3,3.71,0,0,2
Mohammad Nabi,25913,20,1,58,0,2.90,0,0,2
Rashid Khan,793463,34,7,82,5,2.41,0,0,2
Waqar Salamkheil,1108490,17,2,66,2,3.88,0,0,2
Wafadar Momand,973945,8,0,24,0,3.00,1,0,2
George Dockrell,348034,22,7,58,0,2.63,1,0,3
Andy McBrine,417381,13,5,35,1,2.69,0,0,3
James Cameron-Dow,380957,5.5,0,24,1,4.11,0,0,3
Tim Murtagh,17134,5,3,15,0,3.00,0,0,3
Stuart Thompson,414821,1,0,9,0,9.00,0,0,3
Andy Balbirnie,303423,1,0,8,0,8.00,0,0,3
