Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,WD,NB,Innings
Suranga Lakmal,49619,23.5,4,68,3,2.85,1,2,0
Lahiru Kumara,784375,15,1,79,0,5.26,1,0,0
Dilruwan Perera,49920,27,4,112,1,4.14,0,2,0
Rangana Herath,49178,37,2,150,3,4.05,0,0,0
Lakshan Sandakan,429738,22,1,92,2,4.18,3,0,0
Dhananjaya de Silva,465793,5,0,12,0,2.40,0,0,0
Mustafizur Rahman,330902,32,6,113,1,3.53,2,0,1
Sunzamul Islam,380974,45,2,153,1,3.40,0,0,1
Mehidy Hasan Miraz,629063,49,4,174,3,3.55,0,0,1
Taijul Islam,401057,67.3,13,219,4,3.24,0,0,1
Mosaddek Hossain,550133,3,0,24,0,8.00,0,0,1
Mominul Haque,373696,2,0,6,0,3.00,0,0,1
Mahmudullah,56025,1,0,7,0,7.00,0,0,1
Rangana Herath,49178,28,6,80,2,2.85,0,0,2
Suranga Lakmal,49619,9,1,25,0,2.77,0,1,2
Dhananjaya de Silva,465793,12,0,41,1,3.41,0,0,2
Dilruwan Perera,49920,26,5,74,1,2.84,0,2,2
Lakshan Sandakan,429738,18,2,64,1,3.55,0,1,2
Lahiru Kumara,784375,6,0,16,0,2.66,1,0,2
Kusal Mendis,629074,1,0,2,0,2.00,0,0,2
