Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Barinder Sran,537126,2,0,27,0,13.50,4,4,1,0,0,0
Krunal Pandya,471342,3,0,27,0,9.00,5,3,1,0,0,0
Lasith Malinga,49758,4,0,48,0,12.00,7,7,2,0,0,0
Jasprit Bumrah,625383,4,0,44,0,11.00,6,4,2,1,1,0
Rahul Chahar,1064812,4,0,54,1,13.50,7,2,6,1,0,0
Hardik Pandya,625371,3,0,31,1,10.33,8,1,3,3,0,0
Sandeep Warrier,592735,4,0,29,0,7.25,11,2,2,0,0,1
Sunil Narine,230558,4,0,44,2,11.00,8,4,3,0,0,1
Harry Gurney,244639,4,0,37,2,9.25,9,4,2,0,0,1
Andre Russell,276298,4,0,25,2,6.25,10,1,1,0,0,1
Piyush Chawla,32966,4,0,57,1,14.25,6,3,6,0,0,1
