Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Daniel Sams,826901,4,0,40,2,10.00,10,5,1,1,0,0
Adam Zampa,379504,3,0,20,0,6.66,8,0,2,0,0,0
Jhye Richardson,774223,4,0,31,2,7.75,10,1,2,1,0,0
Kane Richardson,272262,4,0,42,0,10.50,6,6,1,0,0,0
Ashton Agar,505120,2,0,20,0,10.00,3,3,0,0,0,0
Marcus Stoinis,325012,2,0,17,1,8.50,2,1,0,0,0,0
Glenn Maxwell,325026,1,0,9,0,9.00,1,0,0,2,0,0
Tim Southee,232364,3,0,10,2,3.33,12,1,0,1,0,1
Trent Boult,277912,3,0,22,2,7.33,10,1,1,2,0,1
Kyle Jamieson,625960,3,0,32,1,10.66,6,3,2,1,0,1
James Neesham,355269,1,0,9,0,9.00,1,1,0,0,0,1
Ish Sodhi,559066,4,0,28,4,7.00,13,3,1,0,1,1
Mitchell Santner,502714,3.3,0,29,1,8.28,5,1,1,2,0,1
