Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,WD,NB,Innings
Kemar Roach,230553,30,7,114,3,3.80,0,3,0
Shannon Gabriel,446101,25,6,89,3,3.56,0,8,0
Jason Holder,391485,31,12,60,0,1.93,0,1,0
Alzarri Joseph,670031,31,8,99,1,3.19,1,0,0
Roston Chase,391832,25,0,109,0,4.36,0,0,0
Kraigg Brathwaite,348024,3,0,14,0,4.66,0,0,0
Tim Southee,232364,19,7,35,4,1.84,0,0,1
Trent Boult,277912,17,5,30,1,1.76,1,0,1
Kyle Jamieson,625960,13,3,25,2,1.92,0,0,1
Neil Wagner,233713,15,3,33,2,2.20,0,3,1
Tim Southee,232364,15,2,62,1,4.13,1,0,2
Trent Boult,277912,15,1,63,1,4.20,1,0,2
Neil Wagner,233713,13.5,0,66,4,4.77,0,1,2
Kyle Jamieson,625960,12,2,42,2,3.50,2,0,2
Daryl Mitchell,381743,3,0,7,1,2.33,0,1,2
