Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Bhuvneshwar Kumar,326016,10,0,53,0,5.30,32,5,0,3,0,0
Jasprit Bumrah,625383,10,2,43,4,4.30,38,3,2,0,0,0
Yuzvendra Chahal,430246,10,1,43,2,4.30,29,3,0,0,0,0
Hardik Pandya,625371,5.2,0,24,1,4.50,22,4,0,2,0,0
Axar Patel,554691,10,0,30,1,3.00,38,1,0,2,0,0
Kedar Jadhav,290716,4.4,0,32,0,6.85,9,0,1,2,0,0
Lasith Malinga,49758,8,0,49,0,6.12,25,4,1,6,0,1
Vishwa Fernando,465783,6.2,0,32,0,5.05,19,2,0,6,0,1
Angelo Mathews,49764,3,0,11,0,3.66,11,1,0,1,0,1
Dushmantha Chameera,552152,7,0,45,0,6.42,21,4,2,0,0,1
Akila Dananjaya,574178,10,0,54,6,5.40,31,4,1,0,0,1
Milinda Siriwardana,222354,10,0,39,1,3.90,35,2,1,1,0,1
