Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Sheldon Cottrell,495551,10,0,50,2,5.00,31,4,0,2,0,0
Kemar Roach,230553,10,0,36,3,3.60,41,2,1,0,0,0
Oshane Thomas,914567,7,0,63,0,9.00,18,7,2,2,0,0
Fabian Allen,670013,10,0,52,0,5.20,27,5,0,0,0,0
Jason Holder,391485,10,2,33,2,3.30,46,6,0,0,0,0
Carlos Brathwaite,457249,3,0,33,0,11.00,0,3,0,2,0,0
Mohammed Shami,481896,6.2,0,16,4,2.52,29,2,0,1,0,1
Jasprit Bumrah,625383,6,1,9,2,1.50,28,0,0,0,0,1
Hardik Pandya,625371,5,0,28,1,5.60,13,3,0,0,1,1
Kuldeep Yadav,559235,9,1,35,1,3.88,28,1,0,2,0,1
Kedar Jadhav,290716,1,0,4,0,4.00,5,1,0,0,0,1
Yuzvendra Chahal,430246,7,0,39,2,5.57,24,5,1,0,0,1
