Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Tendai Chatara,425639,10,0,49,2,4.90,31,2,1,1,0,0
Blessing Muzarabani,827051,10,1,56,1,5.60,34,6,1,0,0,0
Donald Tiripano,392945,10,0,66,2,6.60,25,8,0,0,0,0
Chamu Chibhabha,55354,3,0,22,0,7.33,3,2,0,0,0,0
Liam Roche,596002,7,0,54,1,7.71,14,7,0,0,0,0
Wellington Masakadza,571703,10,0,56,1,5.60,20,1,1,1,0,0
Mohammad Amir,290948,7,1,21,1,3.00,30,3,0,0,0,1
Usman Shinwari,697279,5,1,21,2,4.20,21,3,0,1,0,1
Faheem Ashraf,681117,5,0,14,2,2.80,18,0,0,0,0,1
Hasan Ali,681305,4,2,6,1,1.50,20,0,0,0,0,1
Shadab Khan,922943,9,0,32,4,3.55,30,2,0,0,0,1
Shoaib Malik,42657,5,0,12,0,2.40,19,0,0,0,0,1
