Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Sheldon Cottrell,495551,10,0,51,3,5.09,34,4,2,0,0,0
Romario Shepherd,677077,10,1,39,0,3.90,38,5,0,1,0,0
Khary Pierre,581160,10,0,50,1,5.00,33,3,1,1,0,0
Alzarri Joseph,670031,10,1,32,4,3.20,46,3,1,1,0,0
Kieron Pollard,230559,2,0,15,0,7.50,5,2,0,2,0,0
Hayden Walsh,443263,8,0,47,0,5.87,23,5,1,1,0,0
Andy McBrine,417381,10,0,37,2,3.70,41,3,1,2,0,1
Barry McCarthy,348059,10,1,28,2,2.80,43,2,0,0,0,1
Boyd Rankin,24599,10,0,36,1,3.60,37,2,0,4,0,1
Mark Adair,526441,7.5,0,51,1,6.51,22,5,1,2,0,1
Simi Singh,1005257,10,1,48,3,4.80,38,3,3,0,0,1
Gareth Delany,1099379,2,0,33,0,16.50,1,4,2,0,0,1
