Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Umesh Yadav,376116,10,0,63,1,6.30,29,6,1,1,1,0
Siddarth Kaul,326017,8,0,59,0,7.37,21,7,1,0,0,0
Hardik Pandya,625371,10,0,70,1,7.00,19,5,2,2,0,0
Yuzvendra Chahal,430246,10,0,43,1,4.30,28,0,1,0,1,0
Kuldeep Yadav,559235,10,0,68,3,6.80,19,7,0,0,0,0
Suresh Raina,33335,2,0,18,0,9.00,0,2,0,0,0,0
Mark Wood,351588,5,0,31,1,6.20,16,4,0,1,0,1
David Willey,308251,10,0,48,2,4.80,37,6,0,5,0,1
Liam Plunkett,19264,10,1,46,4,4.59,29,1,0,3,0,1
Ben Stokes,311158,5,0,29,0,5.80,9,2,0,0,0,1
Moeen Ali,8917,10,0,42,1,4.20,30,2,0,0,0,1
Adil Rashid,244497,10,0,38,2,3.80,28,1,0,0,0,1
