Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Alzarri Joseph,670031,10,0,49,1,4.90,36,7,0,2,0,0
Jason Holder,391485,10,1,39,2,3.90,37,4,0,2,0,0
Akeal Hosein,530812,8,0,44,0,5.50,16,2,0,2,0,0
Romario Shepherd,677077,5,0,30,0,6.00,12,3,0,0,0,0
Jason Mohammed,230549,4,1,12,2,3.00,14,0,0,0,0,0
Kieron Pollard,230559,5,0,15,1,3.00,19,0,0,2,0,0
Fabian Allen,670013,7,0,38,1,5.42,19,3,0,0,0,0
Nuwan Pradeep,324358,8,1,46,0,5.75,27,7,0,1,0,1
Dushmantha Chameera,552152,10,0,50,2,5.00,33,6,0,1,1,1
Kamindu Mendis,784373,3,0,21,0,7.00,8,3,0,1,0,1
PWH de Silva,784379,10,1,26,0,2.60,40,1,0,0,1,1
Danushka Gunathilaka,345821,5,0,25,0,5.00,16,0,2,0,0,1
Lakshan Sandakan,429738,10,0,57,0,5.70,24,2,2,1,1,1
Ashen Bandara,958691,1,0,8,0,8.00,2,1,0,0,0,1
