Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,WD,NB,Innings
Suranga Lakmal,49619,22,9,37,2,1.68,0,1,0
Vishwa Fernando,465783,14,1,45,0,3.21,0,0,0
Lahiru Kumara,784375,20,5,60,1,3.00,0,0,0
Lasith Embuldeniya,848109,42.3,8,182,4,4.28,0,0,0
Dhananjaya de Silva,465793,17,1,71,3,4.17,0,0,0
Carl Mumba,672775,18,4,43,1,2.38,0,0,1
Sikandar Raza,299572,43,8,113,7,2.62,0,0,1
Donald Tiripano,392945,24,12,30,1,1.25,0,0,1
Victor Nyauchi,453277,22.5,7,40,1,1.75,0,0,1
Tinotenda Mutombodzi,333001,12,1,48,0,4.00,0,0,1
Suranga Lakmal,49619,18,5,34,1,1.88,0,1,2
Dhananjaya de Silva,465793,7,2,32,0,4.57,0,0,2
Vishwa Fernando,465783,20,5,43,2,2.15,0,0,2
Lahiru Kumara,784375,10,2,38,1,3.80,1,0,2
Lasith Embuldeniya,848109,20,0,81,2,4.05,0,0,2
Sikandar Raza,299572,32,10,63,1,1.96,0,0,3
Donald Tiripano,392945,16,10,15,0,0.93,0,0,3
Carl Mumba,672775,4,1,13,1,3.25,0,0,3
Sean Williams,55870,16,0,49,0,3.06,0,1,3
Victor Nyauchi,453277,12,3,43,1,3.58,0,0,3
Tinotenda Mutombodzi,333001,7,2,19,0,2.71,0,0,3
