Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,WD,NB,Innings
Nuwan Pradeep,324358,31,2,132,6,4.25,1,1,0
Lahiru Kumara,784375,25.1,3,131,3,5.20,5,2,0
Dilruwan Perera,49920,30,1,130,0,4.33,0,0,0
Rangana Herath,49178,40,6,159,1,3.97,0,0,0
Danushka Gunathilaka,345821,7,0,41,0,5.85,0,0,0
Mohammed Shami,481896,12,2,45,2,3.75,1,0,1
Umesh Yadav,376116,14,1,78,1,5.57,0,0,1
Ravichandran Ashwin,26421,27,5,84,1,3.11,0,0,1
Ravindra Jadeja,234675,22.3,3,67,3,2.97,0,0,1
Hardik Pandya,625371,3,0,13,1,4.33,0,0,1
Nuwan Pradeep,324358,12,2,63,0,5.25,0,1,2
Dilruwan Perera,49920,15,0,67,1,4.46,0,0,2
Lahiru Kumara,784375,12,1,59,1,4.91,2,0,2
Rangana Herath,49178,9,0,34,0,3.77,0,0,2
Danushka Gunathilaka,345821,5,0,16,1,3.20,0,0,2
Mohammed Shami,481896,9,0,43,1,4.77,1,0,3
Umesh Yadav,376116,9,0,42,1,4.66,0,0,3
Ravindra Jadeja,234675,24.5,4,71,3,2.85,0,0,3
Ravichandran Ashwin,26421,27,4,65,3,2.40,0,0,3
Hardik Pandya,625371,7,0,21,0,3.00,2,0,3
