Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Chris Woakes,247235,10,0,59,2,5.90,32,8,1,2,0,0
Mark Wood,351588,7,0,49,0,7.00,25,3,3,4,1,0
Moeen Ali,8917,10,0,85,0,8.50,27,2,9,0,0,0
Liam Plunkett,19264,6,0,54,0,9.00,13,2,4,4,0,0
Ben Stokes,311158,8,0,37,3,4.62,25,3,0,2,0,0
Adil Rashid,244497,9,0,74,3,8.22,21,3,6,1,0,0
Devendra Bishoo,341593,10,0,78,1,7.80,23,9,2,0,0,1
Oshane Thomas,914567,9,0,72,1,8.00,22,11,0,4,0,1
Jason Holder,391485,9.4,0,63,2,6.51,19,6,0,3,0,1
Carlos Brathwaite,457249,9,0,66,0,7.33,13,6,0,5,0,1
Ashley Nurse,315594,10,0,69,0,6.90,21,3,4,1,0,1
John Campbell,348026,1,0,13,0,13.00,0,2,0,0,0,1
