Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,WD,NB,Innings
Tim Southee,232364,23,7,61,2,2.65,0,0,0
Trent Boult,277912,20.5,3,82,2,3.93,0,0,0
Kyle Jamieson,625960,21,8,69,5,3.28,1,0,0
Matt Henry,506612,17,2,68,1,4.00,1,0,0
Daryl Mitchell,381743,2,1,6,0,3.00,0,0,0
Shaheen Shah Afridi,1072470,35.5,8,101,2,2.81,0,2,1
Mohammad Abbas,389666,34,11,98,2,2.88,2,1,1
Naseem Shah,1158088,26,2,141,0,5.42,4,9,1
Faheem Ashraf,681117,28,4,106,2,3.78,3,0,1
Shan Masood,233901,2,0,17,0,8.50,0,0,1
Zafar Gohar,348154,32,0,159,0,4.96,0,0,1
Haris Sohail,318788,1,0,2,0,2.00,0,0,1
Tim Southee,232364,20,8,45,0,2.25,0,0,2
Trent Boult,277912,18.4,6,43,3,2.30,0,0,2
Kyle Jamieson,625960,20,6,48,6,2.40,3,1,2
Matt Henry,506612,15,5,25,0,1.66,1,0,2
Daryl Mitchell,381743,5,1,8,0,1.60,0,1,2
Kane Williamson,277906,3,0,16,1,5.33,0,0,2
