Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,WD,NB,Innings
Trent Boult,277912,10.4,3,32,6,3.00,0,0,0
Tim Southee,232364,10,3,25,4,2.50,0,0,0
James Anderson,8608,29,10,87,3,3.00,0,0,1
Stuart Broad,10617,34,9,78,3,2.29,0,0,1
Craig Overton,464626,25,7,70,1,2.80,1,0,1
Chris Woakes,247235,33,9,107,0,3.24,1,0,1
Moeen Ali,8917,17,1,59,0,3.47,0,0,1
Joe Root,303669,3,0,13,1,4.33,0,0,1
Trent Boult,277912,27,9,67,3,2.48,0,0,2
Tim Southee,232364,26,4,86,1,3.30,0,0,2
Colin de Grandhomme,55395,24,10,40,0,1.66,0,1,2
Neil Wagner,233713,32,11,77,3,2.40,1,0,2
Todd Astle,213674,16.1,5,39,3,2.41,0,0,2
Kane Williamson,277906,1,0,1,0,1.00,0,0,2
