Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,WD,NB,Innings
James Anderson,8608,16,7,31,2,1.93,0,0,0
Stuart Broad,10617,12,5,24,0,2.00,0,0,0
Toby Roland-Jones,370535,11,4,32,2,2.90,0,0,0
Ben Stokes,311158,14.3,6,22,6,1.51,0,2,0
Moeen Ali,8917,4,0,13,0,3.25,0,0,0
Kemar Roach,230553,24,8,72,5,3.00,0,0,1
Shannon Gabriel,446101,15,1,64,1,4.26,0,6,1
Jason Holder,391485,13.5,1,54,4,3.90,0,1,1
James Anderson,8608,20.1,5,42,7,2.08,0,0,2
Stuart Broad,10617,19,9,35,2,1.84,0,0,2
Toby Roland-Jones,370535,11,4,31,1,2.81,0,0,2
Ben Stokes,311158,12,3,41,0,3.41,0,0,2
Moeen Ali,8917,2,0,6,0,3.00,0,0,2
Joe Root,303669,1,0,5,0,5.00,0,0,2
Shannon Gabriel,446101,5,0,22,0,4.40,0,0,3
Kemar Roach,230553,1,0,4,0,4.00,0,0,3
Jason Holder,391485,6,1,16,0,2.66,1,0,3
Devendra Bishoo,341593,11,2,35,1,3.18,0,0,3
Roston Chase,391832,5,1,25,0,5.00,0,0,3
