Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Samit Patel,18632,4,0,23,0,5.75,10,3,0,0,0,0
Mohammad Sami,41324,4,0,20,2,5.00,10,1,0,2,0,0
Faheem Ashraf,681117,4,0,53,1,13.25,3,3,4,0,0,0
Shadab Khan,922943,4,0,24,0,6.00,7,1,0,0,0,0
Amad Butt,717373,2,0,16,1,8.00,5,1,1,0,0,0
Hussain Talat,628240,2,0,16,0,8.00,6,0,2,0,0,0
Mohammad Amir,290948,3,0,30,0,10.00,4,5,0,0,0,1
Usman Shinwari,697279,3.3,0,44,1,12.57,7,3,4,0,0,1
Tymal Mills,459257,2,0,32,1,16.00,5,2,3,2,0,1
Shahid Afridi,42639,3,0,30,0,10.00,4,3,1,1,0,1
Mohammad Irfan,805925,1,0,18,0,18.00,0,4,0,0,0,1
