Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,WD,NB,Innings
Jhye Richardson,774223,8,1,64,1,8.00,1,0,0
Nathan Coulter-Nile,261354,10,0,61,2,6.10,1,0,0
Nathan Lyon,272279,10,0,38,1,3.80,0,0,0
Glenn Maxwell,325026,10,0,57,1,5.70,2,0,0
Adam Zampa,379504,10,0,44,0,4.40,0,0,0
Marcus Stoinis,325012,2,0,14,0,7.00,1,0,0
Mohammad Amir,290948,9,0,59,0,6.55,0,0,1
Mohammad Abbas,389666,10,0,44,1,4.40,0,0,1
Imad Wasim,227758,10,1,50,0,5.00,5,0,1
Faheem Ashraf,681117,9,0,50,1,5.55,1,0,1
Yasir Shah,43685,10,0,56,0,5.60,0,0,1
Shoaib Malik,42657,1,0,10,0,10.00,0,0,1
