Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,WD,NB,Innings
James Anderson,8608,25.5,8,64,3,2.47,0,0,0
Stuart Broad,10617,25,8,72,3,2.88,0,0,0
Ben Stokes,311158,15,1,54,0,3.60,1,0,0
Chris Woakes,247235,20,2,75,3,3.75,0,0,0
Adil Rashid,244497,9,0,46,1,5.11,0,0,0
Mohammed Shami,481896,10,2,56,1,5.60,0,0,1
Jasprit Bumrah,625383,12.2,2,37,2,3.00,0,2,1
Ravichandran Ashwin,26421,1,0,3,0,3.00,0,0,1
Ishant Sharma,236779,9,2,32,2,3.55,0,0,1
Hardik Pandya,625371,6,1,28,5,4.66,1,0,1
James Anderson,8608,22,7,55,1,2.50,0,0,2
Stuart Broad,10617,16,3,60,0,3.75,0,0,2
Chris Woakes,247235,22,4,49,1,2.22,0,0,2
Ben Stokes,311158,20,3,68,2,3.40,1,0,2
Adil Rashid,244497,27,2,101,3,3.74,0,0,2
Joe Root,303669,3,0,9,0,3.00,0,0,2
Jasprit Bumrah,625383,29,8,85,5,2.93,0,2,3
Ishant Sharma,236779,20,4,70,2,3.50,0,1,3
Ravichandran Ashwin,26421,22.5,8,44,1,1.92,0,0,3
Mohammed Shami,481896,19,3,78,1,4.10,0,0,3
Hardik Pandya,625371,14,5,22,1,1.57,0,1,3
