Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Bhuvneshwar Kumar,326016,3,0,22,1,7.33,9,1,2,0,0,0
Billy Stanlake,533042,4,0,38,0,9.50,12,4,2,2,0,0
Shakib Al Hasan,56143,4,0,32,0,8.00,5,2,1,1,0,0
Siddarth Kaul,326017,4,0,33,0,8.25,7,5,0,1,0,0
Rashid Khan,793463,4,0,49,1,12.25,5,5,3,0,0,0
Deepak Hooda,497121,1,0,8,0,8.00,1,1,0,0,0,0
Deepak Chahar,447261,4,1,15,3,3.75,17,1,1,0,0,1
Shardul Thakur,475281,4,0,45,1,11.25,9,4,3,1,0,1
Shane Watson,8180,2,0,23,0,11.50,2,1,1,0,0,1
Ravindra Jadeja,234675,4,0,28,0,7.00,6,1,1,1,0,1
Karn Sharma,30288,3,0,30,1,10.00,5,0,3,0,0,1
Dwayne Bravo,51439,3,0,37,1,12.33,5,2,3,0,0,1
