Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,WD,NB,Innings
Mohammad Amir,290948,19.3,5,74,1,3.79,0,0,0
Mohammad Abbas,389666,33,9,100,2,3.03,0,1,0
Wahab Riaz,43590,26,6,62,1,2.38,0,4,0
Yasir Shah,43685,55.5,9,184,6,3.29,0,0,0
Asad Shafiq,316397,11,1,24,0,2.18,3,0,0
Haris Sohail,318788,14,3,34,0,2.42,0,0,0
Suranga Lakmal,49619,17.3,5,41,2,2.34,0,0,1
Nuwan Pradeep,324358,9,2,21,0,2.33,0,0,1
Lahiru Gamage,268845,15,2,38,2,2.53,0,4,1
Dilruwan Perera,49920,26,3,72,3,2.76,0,0,1
Rangana Herath,49178,23,3,84,3,3.65,0,0,1
Mohammad Abbas,389666,4,2,6,1,1.50,0,0,2
Yasir Shah,43685,12,2,47,2,3.91,0,0,2
Wahab Riaz,43590,9,0,41,4,4.55,0,3,2
Haris Sohail,318788,1,0,1,3,1.00,0,0,2
Suranga Lakmal,49619,14,4,35,1,2.50,0,0,3
Lahiru Gamage,268845,16,5,29,1,1.81,0,3,3
Rangana Herath,49178,22.2,3,57,2,2.55,0,0,3
Nuwan Pradeep,324358,11,3,21,1,1.90,0,1,3
Dilruwan Perera,49920,26,1,98,5,3.76,0,0,3
Kusal Mendis,629074,1,0,7,0,7.00,0,1,3
