Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Bhuvneshwar Kumar,326016,10,1,53,2,5.30,37,9,0,1,0,0
Jasprit Bumrah,625383,10,1,39,2,3.90,41,6,0,0,0,0
Ravichandran Ashwin,26421,10,0,54,0,5.40,27,5,0,3,0,0
Hardik Pandya,625371,4,0,34,0,8.50,9,2,1,2,2,0
Ravindra Jadeja,234675,10,0,48,1,4.80,28,4,0,0,0,0
Kedar Jadhav,290716,6,0,22,2,3.66,18,1,0,1,0,0
Mashrafe Mortaza,56007,8,0,29,1,3.62,30,3,0,0,0,1
Mustafizur Rahman,330902,6,0,53,0,8.83,17,9,1,0,0,1
Taskin Ahmed,538506,7,0,49,0,7.00,19,7,1,0,0,1
Rubel Hossain,300619,6,0,46,0,7.66,13,6,0,0,0,1
Shakib Al Hasan,56143,9,0,54,0,6.00,16,5,0,0,0,1
Mosaddek Hossain,550133,2,0,13,0,6.50,2,1,0,0,0,1
Mahmudullah,56025,1,0,10,0,10.00,2,2,0,0,0,1
Sabbir Rahman,373538,1.1,0,11,0,9.42,2,2,0,0,0,1
