Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,WD,NB,Innings
Mohammad Amir,290948,4,0,22,1,5.50,2,0,0
Aamer Yamin,434429,4,0,40,1,10.00,0,0,0
Usman Shinwari,697279,4,0,36,2,9.00,2,0,0
Imad Wasim,227758,4,0,23,1,5.75,0,0,0
Sikandar Raza,299572,4,1,23,2,5.75,0,0,0
Hasan Ali,681305,4,0,15,4,3.75,1,0,1
Umaid Asif,429122,4,0,23,1,5.75,0,0,1
Wahab Riaz,43590,4,0,29,1,7.25,0,0,1
Ibtisam Sheikh,1123377,1,0,10,0,10.00,0,0,1
Kieron Pollard,230559,4,0,18,1,4.50,0,0,1
Liam Dawson,211855,3,0,13,0,4.33,0,0,1
