Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,WD,NB,Innings
Ishant Sharma,236779,20,2,70,0,3.50,0,2,0
Umesh Yadav,376116,31,3,106,3,3.41,0,0,0
Ravichandran Ashwin,26421,34,2,114,1,3.35,0,0,0
Ravindra Jadeja,234675,49.3,8,124,5,2.50,0,0,0
Murali Vijay,237095,3,0,17,0,5.66,0,0,0
Josh Hazlewood,288284,44,10,103,1,2.34,0,0,1
Pat Cummins,489889,39,10,106,4,2.71,0,0,1
Steve O'Keefe,7069,77,17,199,3,2.58,0,0,1
Nathan Lyon,272279,46,2,163,1,3.54,0,0,1
Glenn Maxwell,325026,4,0,13,0,3.25,0,0,1
Ravichandran Ashwin,26421,30,10,71,1,2.36,0,0,2
Ravindra Jadeja,234675,44,18,54,4,1.22,0,0,2
Umesh Yadav,376116,15,2,36,0,2.40,0,0,2
Ishant Sharma,236779,11,0,30,1,2.72,0,3,2
