Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Alzarri Joseph,670031,10,0,48,2,4.80,33,4,0,3,1,0
Keon Harding,906755,10,0,88,0,8.80,24,7,3,7,2,0
Kyle Mayers,348056,7,0,34,1,4.85,15,1,0,1,0,0
Raymon Reifer,450101,10,0,61,2,6.10,20,2,2,0,0,0
Akeal Hosein,530812,10,0,46,0,4.59,28,3,0,3,0,0
Jason Mohammed,230549,3,0,16,0,5.33,8,0,1,0,0,0
Mohammad Saifuddin,629070,9,0,51,3,5.66,25,4,1,2,0,1
Mustafizur Rahman,330902,6,0,24,2,4.00,23,2,0,4,0,1
Taskin Ahmed,538506,8.2,1,32,1,3.84,36,3,1,0,2,1
Mehidy Hasan Miraz,629063,10,2,18,2,1.80,46,0,0,1,0,1
Shakib Al Hasan,56143,4.5,0,12,0,2.48,18,0,0,0,0,1
Mahmudullah,56025,2,0,11,0,5.50,5,1,0,1,0,1
Soumya Sarkar,436677,3.1,0,22,1,6.94,4,0,1,0,0,1
Najmul Hossain Shanto,629058,1,0,4,0,4.00,2,0,0,0,0,1
