Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,WD,NB,Innings
Sohail Tanvir,43265,4,0,29,1,7.25,1,0,0
Mohammad Nawaz,348148,4,0,28,1,7.00,0,0,0
Mohammad Irfan,805925,4,0,32,2,8.00,1,1,0
Fawad Ahmed,240609,4,0,22,1,5.50,0,0,0
Ghulam Mudassar,938937,4,0,44,2,11.00,1,1,0
Ali Shafiq,1012853,1.4,0,9,0,5.40,0,0,1
Nauman Ali,238672,4,0,34,0,8.50,0,0,1
Dan Christian,4864,1.5,0,18,0,9.81,0,0,1
Mohammad Irfan,429981,4,0,26,1,6.50,1,0,1
Andre Russell,276298,3,0,33,0,11.00,1,0,1
Shahid Afridi,42639,4,0,36,1,9.00,0,0,1
