Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Sam Curran,662973,2,0,33,1,16.50,4,3,3,0,0,0
Tom Curran,550235,2,0,30,1,15.00,3,1,3,0,0,0
Chris Jordan,288992,2,0,28,0,14.00,2,1,3,0,0,0
Adil Rashid,244497,3,0,34,1,11.33,5,0,4,0,0,0
Saqib Mahmood,643885,2,0,20,1,10.00,3,2,1,0,0,0
Trent Boult,277912,3,0,35,2,11.66,9,1,4,2,0,1
Tim Southee,232364,2,0,22,1,11.00,3,3,0,3,0,1
Mitchell Santner,502714,2,0,20,2,10.00,3,0,2,1,0,1
Scott Kuggeleijn,539548,1,0,20,0,20.00,2,2,2,0,0,1
Ish Sodhi,559066,1,0,22,0,22.00,0,0,3,1,0,1
James Neesham,355269,2,0,25,2,12.50,3,1,2,0,0,1
