Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Nick Winter,501498,1,0,7,0,7.00,0,0,0,0,0,0
Scott Boland,446548,4,0,20,1,5.00,13,1,0,0,0,0
Riley Meredith,961713,4,0,22,3,5.50,10,1,0,3,0,0
Nathan Ellis,826915,4,0,47,0,11.75,2,3,2,1,0,0
Sandeep Lamichhane,960361,4,0,35,0,8.75,3,0,2,0,0,0
D'Arcy Short,308798,3,0,16,1,5.33,9,2,0,0,0,0
Beau Webster,381329,4,0,31,0,7.75,7,4,0,0,0,1
Will Sutherland,1076722,3,0,22,1,7.33,4,1,0,0,0,1
Zak Evans,1088612,4,0,33,5,8.25,8,4,1,0,0,1
Peter Hatzoglou,1191384,4,0,24,1,6.00,8,1,0,1,0,1
Imad Wasim,227758,4,0,22,1,5.50,7,0,0,0,0,1
Jack Prestwidge,977451,1,0,6,0,6.00,4,1,0,0,1,1
