Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,WD,NB,Innings,0s,4s,6s
Tim Southee,232364,13,5,38,2,2.92,0,0,0,,,
Trent Boult,277912,17,2,89,2,5.23,0,0,0,,,
Colin de Grandhomme,55395,9,2,31,0,3.44,0,0,0,,,
Kyle Jamieson,625960,14,3,45,5,3.21,1,0,0,,,
Neil Wagner,233713,10,2,29,1,2.90,0,0,0,,,
Jasprit Bumrah,625383,22,5,62,3,2.81,0,0,1,,,
Umesh Yadav,376116,18,2,46,1,2.55,0,0,1,,,
Mohammed Shami,481896,23.1,3,81,4,3.49,0,0,1,,,
Ravindra Jadeja,234675,10,2,22,2,2.20,0,0,1,,,
Tim Southee,232364,11,2,36,3,3.27,0,0,2,,,
Trent Boult,277912,14,4,28,4,2.00,0,0,2,,,
Kyle Jamieson,625960,8,4,18,0,2.25,0,0,2,,,
Colin de Grandhomme,55395,5,3,3,1,0.60,0,0,2,,,
Neil Wagner,233713,8,1,18,1,2.25,0,0,2,,,
Jasprit Bumrah,625383,13,2,39,2,3.00,,,3,0,0,
Umesh Yadav,376116,14,3,45,1,3.21,,,3,0,0,
Mohammed Shami,481896,3,1,11,0,3.66,,,3,0,0,
Ravindra Jadeja,234675,5,0,24,0,4.80,,,3,0,1,
Virat Kohli,253802,1,0,4,0,4.00,,,3,0,0,
