Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,WD,NB,Innings
Michael Neser,376169,3,0,14,2,4.66,0,0,0
Liam O'Connor,334388,4,0,41,1,10.25,0,0,0
Wes Agar,959833,2,0,33,0,16.50,1,0,0
Ben Laughlin,315623,4,0,15,2,3.75,0,0,0
Ish Sodhi,559066,4,0,34,1,8.50,1,0,0
Kieron Pollard,230559,3,0,30,3,10.00,1,0,0
Tom Cooper,219885,4,0,26,1,6.50,0,0,1
James Pattinson,272465,3,0,31,0,10.33,0,0,1
Sunil Narine,230558,4,0,40,1,10.00,0,0,1
Nathan Rimmington,7443,2,0,14,1,7.00,0,0,1
Brad Hogg,5681,4,0,28,0,7.00,0,0,1
Thisara Perera,233514,3,0,25,4,8.33,0,0,1
