Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,WD,NB,Innings
Imad Wasim,227758,4,0,13,0,3.25,1,0,0
Mohammad Amir,290948,4,0,39,1,9.75,3,0,0
Aamer Yamin,434429,4,0,37,3,9.25,0,0,0
Sohail Khan,317252,2,0,32,0,16.00,1,0,0
Umer Khan,1072473,2,0,23,1,11.50,1,0,0
Colin Munro,232359,4,0,34,0,8.50,1,0,0
Sohail Tanvir,43265,4,0,21,2,5.25,4,0,1
Mohammad Nawaz,348148,4,0,51,1,12.75,0,0,1
Ghulam Mudassar,938937,3,0,44,0,14.66,1,0,1
Fawad Ahmed,240609,4,0,31,1,7.75,0,0,1
Anwar Ali,232491,3.4,0,40,0,10.90,0,0,1
