Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Dushmantha Chameera,552152,4,0,33,2,8.25,11,3,2,1,0,0
Nuwan Pradeep,324358,3,0,38,1,12.66,4,4,2,2,0,0
Akila Dananjaya,574178,4,0,37,0,9.25,6,2,2,1,0,0
Thisara Perera,233514,3,0,25,0,8.33,3,3,0,0,0,0
Jeevan Mendis,49700,3,0,21,1,7.00,6,0,1,1,0,0
Danushka Gunathilaka,345821,3,0,16,1,5.33,7,0,1,0,0,0
Jaydev Unadkat,390484,3,0,35,1,11.66,8,4,2,2,0,1
Washington Sundar,719715,4,0,28,2,7.00,14,1,2,1,0,1
Shardul Thakur,475281,3.3,0,42,0,12.00,7,6,1,1,1,1
Yuzvendra Chahal,430246,4,0,37,2,9.25,8,2,2,1,0,1
Vijay Shankar,477021,2,0,15,0,7.50,2,0,0,1,0,1
Suresh Raina,33335,2,0,14,0,7.00,4,0,1,0,0,1
