Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
James Faulkner,270484,4,0,27,2,6.75,10,2,1,1,0,0
Clive Rose,288285,4,0,20,0,5.00,8,1,0,0,0,0
Jofra Archer,669855,4,0,28,2,7.00,11,3,0,1,0,0
David Moody,779937,4,0,27,2,6.75,11,4,0,1,0,0
Jarrod Freeman,1124288,2,0,11,0,5.50,4,1,0,0,0,0
D'Arcy Short,308798,2,0,31,0,15.50,1,3,2,0,0,0
Matt Renshaw,722303,2,0,12,0,6.00,5,1,0,0,0,1
Ben Cutting,230371,3,0,29,1,9.66,4,1,1,4,0,1
Mujeeb Ur Rahman,974109,4,0,41,0,10.25,8,5,1,0,0,1
Josh Lalor,272385,2,0,19,0,9.50,2,2,0,1,0,1
Brendan Doggett,931603,2,0,31,0,15.50,3,5,1,0,0,1
Mitchell Swepson,590326,1.2,0,14,0,10.50,1,2,0,0,0,1
