Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,WD,NB,Innings
Lungi Ngidi,542023,19,3,64,1,3.36,0,0,0
Lutho Sipamla,698143,16,1,76,4,4.75,0,3,0
Anrich Nortje,481979,22,3,88,1,4.00,2,0,0
Wiaan Mulder,698189,20,4,69,3,3.45,0,3,0
Keshav Maharaj,267724,19,3,74,0,3.89,0,0,0
Vishwa Fernando,465783,31.1,3,129,3,4.13,3,0,1
Kasun Rajitha,499594,2.1,0,16,0,7.38,0,1,1
Dasun Shanaka,437316,28.5,2,98,2,3.39,0,3,1
PWH de Silva,784379,45,5,171,4,3.80,0,1,1
Lahiru Kumara,784375,21.1,0,103,1,4.86,2,0,1
Dimuth Karunaratne,227772,6.5,0,36,0,5.26,0,0,1
Kusal Mendis,629074,7,0,41,0,5.85,0,2,1
Lungi Ngidi,542023,10,2,38,2,3.80,0,1,2
Anrich Nortje,481979,10.1,1,47,2,4.62,0,1,2
Wiaan Mulder,698189,12,1,39,2,3.25,0,1,2
Lutho Sipamla,698143,5,0,24,2,4.80,0,1,2
Keshav Maharaj,267724,6,3,20,0,3.33,0,0,2
Aiden Markram,600498,3,2,6,0,2.00,0,0,2
