Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,WD,NB,Innings
Suranga Lakmal,49619,19,12,26,4,1.36,0,0,0
Lahiru Gamage,268845,17.3,5,59,2,3.37,0,0,0
Dasun Shanaka,437316,12,4,36,2,3.00,0,0,0
Dimuth Karunaratne,227772,2,0,17,0,8.50,0,0,0
Rangana Herath,49178,2,0,5,0,2.50,0,0,0
Dilruwan Perera,49920,7,1,19,2,2.71,0,0,0
Bhuvneshwar Kumar,326016,27,5,88,4,3.25,0,0,1
Mohammed Shami,481896,26.3,5,100,4,3.77,0,0,1
Umesh Yadav,376116,20,1,79,2,3.95,1,0,1
Ravichandran Ashwin,26421,8,2,13,0,1.62,0,0,1
Virat Kohli,253802,1.1,0,5,0,4.28,0,0,1
Ravindra Jadeja,234675,1,0,1,0,1.00,0,0,1
Suranga Lakmal,49619,24.4,4,93,3,3.77,1,0,2
Lahiru Gamage,268845,23,2,97,1,4.21,0,1,2
Dasun Shanaka,437316,22,1,76,3,3.45,2,0,2
Dilruwan Perera,49920,13,2,49,1,3.76,0,0,2
Rangana Herath,49178,6,1,29,0,4.83,0,0,2
Bhuvneshwar Kumar,326016,11,8,8,4,0.72,0,0,3
Mohammed Shami,481896,9.3,4,34,2,3.57,0,1,3
Umesh Yadav,376116,5,0,25,1,5.00,0,0,3
Ravindra Jadeja,234675,1,0,7,0,7.00,0,0,3
