Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,WD,NB,Innings
Stuart Broad,10617,14,4,32,2,2.28,0,0,0
Jofra Archer,669855,17.1,3,45,6,2.62,0,2,0
Chris Woakes,247235,12,4,51,1,4.25,1,0,0
Ben Stokes,311158,9,0,45,1,5.00,0,0,0
Pat Cummins,489889,9,4,23,3,2.55,0,0,1
Josh Hazlewood,288284,12.5,2,30,5,2.33,0,0,1
Nathan Lyon,272279,1,0,2,0,2.00,0,0,1
James Pattinson,272465,5,2,9,2,1.80,0,0,1
Jofra Archer,669855,14,2,40,2,2.85,1,3,2
Stuart Broad,10617,16,2,52,2,3.25,1,0,2
Chris Woakes,247235,10,1,34,1,3.40,0,0,2
Jack Leach,455524,11,0,46,1,4.18,0,0,2
Ben Stokes,311158,24.2,7,56,3,2.30,0,4,2
Pat Cummins,489889,24.4,5,80,1,3.24,1,1,3
Josh Hazlewood,288284,31,11,85,4,2.74,1,0,3
Nathan Lyon,272279,39,5,114,2,2.92,0,0,3
James Pattinson,272465,25,9,47,1,1.88,4,0,3
Marnus Labuschagne,787987,6,0,16,0,2.66,0,0,3
