Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,WD,NB,Innings
Suranga Lakmal,49619,30,8,81,0,2.70,0,0,0
Nuwan Pradeep,324358,27,8,78,4,2.88,2,0,0
Angelo Mathews,49764,20,6,52,2,2.60,0,1,0
Lahiru Kumara,784375,25.1,2,107,4,4.25,2,0,0
Rangana Herath,49178,14,0,67,0,4.78,0,0,0
Dhananjaya de Silva,465793,8,1,22,0,2.75,0,0,0
Vernon Philander,46945,14,5,28,3,2.00,0,0,1
Wayne Parnell,265564,10.4,2,38,2,3.56,0,0,1
Duanne Olivier,486679,9,3,19,2,2.11,0,0,1
Kagiso Rabada,550215,12,3,44,3,3.66,0,0,1
Vernon Philander,46945,10,1,35,1,3.50,0,0,2
Kagiso Rabada,550215,12,3,50,2,4.16,1,0,2
Wayne Parnell,265564,10.3,1,51,4,4.85,0,0,2
Duanne Olivier,486679,9,2,38,3,4.22,0,1,2
Jean-Paul Duminy,44932,1,0,1,0,1.00,0,0,2
