Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,WD,NB,Innings
Abu Jayed,410763,21,3,68,1,3.23,0,0,0
Taijul Islam,401057,39.3,7,108,6,2.73,0,0,0
Ariful Haque,270135,4,1,7,0,1.75,0,0,0
Mehidy Hasan Miraz,629063,27,8,45,0,1.66,0,0,0
Nazmul Islam,446810,23,6,49,2,2.13,0,0,0
Mahmudullah,56025,3,0,3,1,1.00,0,0,0
Kyle Jarvis,332996,11,2,28,2,2.54,0,0,1
Tendai Chatara,425639,10,4,19,3,1.90,0,0,1
Brandon Mavuta,806239,6,0,27,0,4.50,0,0,1
Sikandar Raza,299572,12,2,35,3,2.91,0,0,1
Wellington Masakadza,571703,8,2,21,0,2.62,0,0,1
Sean Williams,55870,4,0,5,1,1.25,0,0,1
Taijul Islam,401057,28.4,8,62,5,2.16,0,0,2
Nazmul Islam,446810,6,1,27,2,4.50,0,0,2
Abu Jayed,410763,7,1,25,0,3.57,0,0,2
Mehidy Hasan Miraz,629063,19,7,48,3,2.52,0,0,2
Mahmudullah,56025,4,1,7,0,1.75,0,0,2
Mominul Haque,373696,1,0,4,0,4.00,0,0,2
Kyle Jarvis,332996,14,5,29,1,2.07,0,0,3
Tendai Chatara,425639,9,2,25,0,2.77,0,0,3
Sikandar Raza,299572,17,1,41,3,2.41,0,0,3
Sean Williams,55870,8,2,13,0,1.62,0,0,3
Brandon Mavuta,806239,10,2,21,4,2.10,0,0,3
Wellington Masakadza,571703,5.1,0,33,2,6.38,0,0,3
