Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Mohammad Nabi,25913,4,0,22,2,5.50,11,3,0,0,0,0
Kane Richardson,272262,4,1,13,0,3.25,12,0,0,0,0,0
Dwayne Bravo,51439,4,0,29,3,7.25,10,2,1,1,0,0
Jack Wildermuth,570854,4,0,20,1,5.00,11,1,0,0,0,0
Brad Hogg,5681,4,0,26,1,6.50,6,2,0,0,0,0
Ben Dwarshuis,679567,4,0,19,1,4.75,14,2,0,1,0,1
Mickey Edwards,641419,3,0,31,0,10.33,7,3,2,0,0,1
Daniel Sams,826901,3.3,0,27,0,7.71,9,4,0,2,0,1
William Somerville,38607,2,0,13,0,6.50,7,1,1,0,0,1
Sean Abbott,398666,2,0,13,0,6.50,5,2,0,0,0,1
Johan Botha,44149,1,0,7,0,7.00,1,0,0,0,0,1
