Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,WD,NB,Innings
Barry McCarthy,348059,4,0,69,0,17.25,1,0,0
George Dockrell,348034,4,0,35,0,8.75,2,0,0
Kevin O'Brien,24605,4,0,45,4,11.25,1,1,0
Stuart Thompson,414821,3,0,36,0,12.00,2,0,0
Jacob Mulder,1005369,4,0,32,2,8.00,0,0,0
Andy McBrine,417381,1,0,11,1,11.00,0,0,0
Shapoor Zadran,319746,4,0,60,1,15.00,1,2,1
Amir Hamza,402245,4,0,39,2,9.75,0,0,1
Mohammad Nabi,25913,3.2,0,43,1,12.90,0,0,1
Karim Janat,793467,4,0,34,2,8.50,0,0,1
Rashid Khan,793463,4,0,28,3,7.00,0,0,1
